"subject" "label" "activity" "measurement" "average"
1 1 "WALKING" "TimeDomain.BodyAngularAcceleration-std()-Y" -0.304468510631579
1 1 "WALKING" "TimeDomain.BodyAngularAcceleration-std()-Z" -0.404255452631579
1 1 "WALKING" "TimeDomain.BodyAngularAccelerationMagnitude-mean()" -0.298703679084211
1 1 "WALKING" "TimeDomain.BodyAngularAccelerationMagnitude-std()" -0.325324878894737
1 1 "WALKING" "TimeDomain.BodyAngularSpeed-mean()-X" -0.041830963526
1 1 "WALKING" "TimeDomain.BodyAngularSpeed-mean()-Y" -0.0695300462115789
1 1 "WALKING" "TimeDomain.BodyAngularSpeed-mean()-Z" 0.0849448173042105
1 1 "WALKING" "TimeDomain.BodyAngularSpeed-std()-X" -0.473535485894737
1 1 "WALKING" "TimeDomain.BodyAngularSpeed-std()-Y" -0.0546077686594737
1 1 "WALKING" "TimeDomain.BodyAngularSpeed-std()-Z" -0.344266629473684
1 1 "WALKING" "TimeDomain.BodyAngularSpeedMagnitude-mean()" -0.160979552536842
1 1 "WALKING" "TimeDomain.BodyAngularSpeedMagnitude-std()" -0.186978364526316
1 1 "WALKING" "TimeDomain.GravityAcceleration-mean()-X" 0.935223201473684
1 1 "WALKING" "TimeDomain.GravityAcceleration-mean()-Y" -0.282165021263158
1 1 "WALKING" "TimeDomain.GravityAcceleration-mean()-Z" -0.068102864
1 1 "WALKING" "TimeDomain.GravityAcceleration-std()-X" -0.976609642526316
1 1 "WALKING" "TimeDomain.GravityAcceleration-std()-Y" -0.971305961473684
1 1 "WALKING" "TimeDomain.GravityAcceleration-std()-Z" -0.947717226105263
1 1 "WALKING" "TimeDomain.GravityAccelerationMagnitude-mean()" -0.136971176556842
1 1 "WALKING" "TimeDomain.GravityAccelerationMagnitude-std()" -0.219688645631579
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAcceleration-mean()-X" -0.404321784150943
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAcceleration-mean()-Y" -0.190976720811321
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAcceleration-mean()-Z" -0.433349702075472
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAcceleration-std()-X" -0.337428188679245
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAcceleration-std()-Y" 0.0217695106566038
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAcceleration-std()-Z" 0.0859565543849057
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationJerk-mean()-X" -0.479875245660377
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationJerk-mean()-Y" -0.41344458754717
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationJerk-mean()-Z" -0.685474353962264
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationJerk-std()-X" -0.461907025849057
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationJerk-std()-Y" -0.381777065283019
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationJerk-std()-Z" -0.726040200754717
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationMagnitude-mean()" -0.352395944716981
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAccelerationMagnitude-std()" -0.416260101509434
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAngularSpeed-mean()-X" -0.492611667924528
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAngularSpeed-mean()-Y" -0.319474609056604
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAngularSpeed-mean()-Z" -0.453597213018868
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAngularSpeed-std()-X" -0.565892490754717
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAngularSpeed-std()-Y" 0.151538905566038
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyAngularSpeed-std()-Z" -0.57170784
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-mean()" -0.44265216245283
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-std()" -0.533059853773585
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-mean()" -0.634665082075472
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-std()" -0.693930521509434
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-mean()" -0.325961457396226
1 2 "WALKING UPSTAIRS" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-std()" -0.182985518264151
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAcceleration-mean()-X" 0.255461689622641
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAcceleration-mean()-Y" -0.0239531492643396
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAcceleration-mean()-Z" -0.0973020020943396
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAcceleration-std()-X" -0.35470802509434
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAcceleration-std()-Y" -0.00232026501698113
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAcceleration-std()-Z" -0.0194792388471698
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerk-mean()-X" 0.101372729922642
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerk-mean()-Y" 0.0194863076188679
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerk-mean()-Z" -0.0455625449113208
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerk-std()-X" -0.446843887735849
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerk-std()-Y" -0.378274426037736
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerk-std()-Z" -0.706593530943396
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerkMagnitude-mean()" -0.466503446226415
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationJerkMagnitude-std()" -0.478991622075472
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationMagnitude-mean()" -0.129927630735849
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAccelerationMagnitude-std()" -0.324970929245283
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAcceleration-mean()-X" -0.122232768011321
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAcceleration-mean()-Y" -0.0421485884509434
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAcceleration-mean()-Z" -0.0407125527654717
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAcceleration-std()-X" -0.614786508490566
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAcceleration-std()-Y" -0.601696656226415
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAcceleration-std()-Z" -0.606332002264151
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAccelerationMagnitude-mean()" -0.59488286509434
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularAccelerationMagnitude-std()" -0.648553044339623
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeed-mean()-X" 0.050549379754717
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeed-mean()-Y" -0.166170015088679
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeed-mean()-Z" 0.0583595463981132
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeed-std()-X" -0.544871104528302
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeed-std()-Y" 0.00410518379811321
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeed-std()-Z" -0.50716867490566
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeedMagnitude-mean()" -0.126735589969811
1 2 "WALKING UPSTAIRS" "TimeDomain.BodyAngularSpeedMagnitude-std()" -0.14861931805283
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAcceleration-mean()-X" 0.89335109754717
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAcceleration-mean()-Y" -0.362153364339623
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAcceleration-mean()-Z" -0.075402939754717
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAcceleration-std()-X" -0.956367027924528
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAcceleration-std()-Y" -0.952849233207547
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAcceleration-std()-Z" -0.912379410377358
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAccelerationMagnitude-mean()" -0.129927630735849
1 2 "WALKING UPSTAIRS" "TimeDomain.GravityAccelerationMagnitude-std()" -0.324970929245283
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAcceleration-mean()-X" 0.0382291831510204
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAcceleration-mean()-Y" 0.00154990783591837
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAcceleration-mean()-Z" -0.225574471693878
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAcceleration-std()-X" 0.0243308391387755
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAcceleration-std()-Y" -0.112963739953061
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAcceleration-std()-Z" -0.297927894693878
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationJerk-mean()-X" -0.0276638676122449
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationJerk-mean()-Y" -0.12866715764898
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationJerk-mean()-Z" -0.288334735714286
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationJerk-std()-X" -0.0863278966402041
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationJerk-std()-Y" -0.134580008877551
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationJerk-std()-Z" -0.401721464285714
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationMagnitude-mean()" 0.0965845343040816
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAccelerationMagnitude-std()" -0.186530301073469
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAngularSpeed-mean()-X" -0.352449631363265
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAngularSpeed-mean()-Y" -0.0557022524693878
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAngularSpeed-mean()-Z" -0.0318694271979592
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAngularSpeed-std()-X" -0.495422486102041
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAngularSpeed-std()-Y" -0.181414728657143
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyAngularSpeed-std()-Z" -0.238443565306122
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-mean()" 0.0262184949326531
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-std()" -0.104052260726531
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-mean()" -0.281963359177551
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-std()" -0.391919876612245
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-mean()" -0.185720285744898
1 3 "WALKING DOWNSTAIRS" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-std()" -0.398350390122449
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAcceleration-mean()-X" 0.289188320408163
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAcceleration-mean()-Y" -0.00991850461020408
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAcceleration-mean()-Z" -0.107566190908163
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAcceleration-std()-X" 0.0300353383483878
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAcceleration-std()-Y" -0.0319359434489796
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAcceleration-std()-Z" -0.230434213204082
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerk-mean()-X" 0.0541553164897959
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerk-mean()-Y" 0.0296504490408163
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerk-mean()-Z" -0.0109719730183673
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerk-std()-X" -0.012283860544898
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerk-std()-Y" -0.101601390640816
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerk-std()-Z" -0.345735032326531
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerkMagnitude-mean()" -0.0894474807979592
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationJerkMagnitude-std()" -0.0257877197081633
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationMagnitude-mean()" 0.0271882914106122
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAccelerationMagnitude-std()" 0.0198843506265306
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAcceleration-mean()-X" -0.0739592036271429
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAcceleration-mean()-Y" -0.0439902783367347
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAcceleration-mean()-Z" -0.0270461061061224
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAcceleration-std()-X" -0.487027342244898
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAcceleration-std()-Y" -0.238824827530612
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAcceleration-std()-Z" -0.268761480242857
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAccelerationMagnitude-mean()" -0.295463843346939
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularAccelerationMagnitude-std()" -0.306510645530612
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeed-mean()-X" -0.0350781902989796
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeed-mean()-Y" -0.0909371290204082
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeed-mean()-Z" 0.0900850142030612
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeed-std()-X" -0.458030542938775
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeed-std()-Y" -0.126349194938775
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeed-std()-Z" -0.124702454242857
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeedMagnitude-mean()" -0.0757412543673469
1 3 "WALKING DOWNSTAIRS" "TimeDomain.BodyAngularSpeedMagnitude-std()" -0.225724368061224
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAcceleration-mean()-X" 0.931874418979592
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAcceleration-mean()-Y" -0.266610338979592
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAcceleration-mean()-Z" -0.0621199585938775
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAcceleration-std()-X" -0.950559811632653
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAcceleration-std()-Y" -0.937018658979592
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAcceleration-std()-Z" -0.895939695102041
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAccelerationMagnitude-mean()" 0.0271882914106122
1 3 "WALKING DOWNSTAIRS" "TimeDomain.GravityAccelerationMagnitude-std()" 0.0198843506265306
1 4 "SITTING" "FrequencyDomain.BodyAcceleration-mean()-X" -0.979641238723404
1 4 "SITTING" "FrequencyDomain.BodyAcceleration-mean()-Y" -0.944084550425532
1 4 "SITTING" "FrequencyDomain.BodyAcceleration-mean()-Z" -0.959184889148936
1 4 "SITTING" "FrequencyDomain.BodyAcceleration-std()-X" -0.976412313191489
1 4 "SITTING" "FrequencyDomain.BodyAcceleration-std()-Y" -0.917275006382979
1 4 "SITTING" "FrequencyDomain.BodyAcceleration-std()-Z" -0.934469558085106
1 4 "SITTING" "FrequencyDomain.BodyAccelerationJerk-mean()-X" -0.986597022553191
1 4 "SITTING" "FrequencyDomain.BodyAccelerationJerk-mean()-Y" -0.981579467021277
1 4 "SITTING" "FrequencyDomain.BodyAccelerationJerk-mean()-Z" -0.986053092340425
1 4 "SITTING" "FrequencyDomain.BodyAccelerationJerk-std()-X" -0.987492994468085
1 4 "SITTING" "FrequencyDomain.BodyAccelerationJerk-std()-Y" -0.982513909574468
1 4 "SITTING" "FrequencyDomain.BodyAccelerationJerk-std()-Z" -0.988339184893617
1 4 "SITTING" "FrequencyDomain.BodyAccelerationMagnitude-mean()" -0.947782922553192
1 4 "SITTING" "FrequencyDomain.BodyAccelerationMagnitude-std()" -0.928444801702128
1 4 "SITTING" "FrequencyDomain.BodyAngularSpeed-mean()-X" -0.976161464042553
1 4 "SITTING" "FrequencyDomain.BodyAngularSpeed-mean()-Y" -0.975838585319149
1 4 "SITTING" "FrequencyDomain.BodyAngularSpeed-mean()-Z" -0.951315544468085
1 4 "SITTING" "FrequencyDomain.BodyAngularSpeed-std()-X" -0.977904227021277
1 4 "SITTING" "FrequencyDomain.BodyAngularSpeed-std()-Y" -0.962345042553192
1 4 "SITTING" "FrequencyDomain.BodyAngularSpeed-std()-Z" -0.94391784106383
1 4 "SITTING" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-mean()" -0.985262126808511
1 4 "SITTING" "FrequencyDomain.BodyBodyAccelerationJerkMagnitude-std()" -0.981606177446808
1 4 "SITTING" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-mean()" -0.989797547234043
1 4 "SITTING" "FrequencyDomain.BodyBodyAngularAccelerationMagnitude-std()" -0.987049617234043
1 4 "SITTING" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-mean()" -0.958435589361702
1 4 "SITTING" "FrequencyDomain.BodyBodyAngularSpeedMagnitude-std()" -0.932198374893617
1 4 "SITTING" "TimeDomain.BodyAcceleration-mean()-X" 0.261237565425532
1 4 "SITTING" "TimeDomain.BodyAcceleration-mean()-Y" -0.00130828765170213
1 4 "SITTING" "TimeDomain.BodyAcceleration-mean()-Z" -0.104544182255319
1 4 "SITTING" "TimeDomain.BodyAcceleration-std()-X" -0.977229008297872
1 4 "SITTING" "TimeDomain.BodyAcceleration-std()-Y" -0.922618641914894
1 4 "SITTING" "TimeDomain.BodyAcceleration-std()-Z" -0.93958629106383
1 4 "SITTING" "TimeDomain.BodyAccelerationJerk-mean()-X" 0.0774825199574468
1 4 "SITTING" "TimeDomain.BodyAccelerationJerk-mean()-Y" -0.000619102785106384
1 4 "SITTING" "TimeDomain.BodyAccelerationJerk-mean()-Z" -0.00336779235021277
1 4 "SITTING" "TimeDomain.BodyAccelerationJerk-std()-X" -0.986430711276596
1 4 "SITTING" "TimeDomain.BodyAccelerationJerk-std()-Y" -0.981371965319149
1 4 "SITTING" "TimeDomain.BodyAccelerationJerk-std()-Z" -0.987910804468085
1 4 "SITTING" "TimeDomain.BodyAccelerationJerkMagnitude-mean()" -0.987364195531915
1 4 "SITTING" "TimeDomain.BodyAccelerationJerkMagnitude-std()" -0.984120024042553
1 4 "SITTING" "TimeDomain.BodyAccelerationMagnitude-mean()" -0.948536786170213
1 4 "SITTING" "TimeDomain.BodyAccelerationMagnitude-std()" -0.927078418723404
1 4 "SITTING" "TimeDomain.BodyAngularAcceleration-mean()-X" -0.0936793807234043
1 4 "SITTING" "TimeDomain.BodyAngularAcceleration-mean()-Y" -0.0402118124255319
1 4 "SITTING" "TimeDomain.BodyAngularAcceleration-mean()-Z" -0.046702627
1 4 "SITTING" "TimeDomain.BodyAngularAcceleration-std()-X" -0.99173159212766
1 4 "SITTING" "TimeDomain.BodyAngularAcceleration-std()-Y" -0.989518068510638
1 4 "SITTING" "TimeDomain.BodyAngularAcceleration-std()-Z" -0.987935806382979
1 4 "SITTING" "TimeDomain.BodyAngularAccelerationMagnitude-mean()" -0.991976341276596
1 4 "SITTING" "TimeDomain.BodyAngularAccelerationMagnitude-std()" -0.988308728510638
1 4 "SITTING" "TimeDomain.BodyAngularSpeed-mean()-X" -0.045350056512766
1 4 "SITTING" "TimeDomain.BodyAngularSpeed-mean()-Y" -0.0919241549361702
1 4 "SITTING" "TimeDomain.BodyAngularSpeed-mean()-Z" 0.0629313811914894
1 4 "SITTING" "TimeDomain.BodyAngularSpeed-std()-X" -0.977211283191489
1 4 "SITTING" "TimeDomain.BodyAngularSpeed-std()-Y" -0.966473895319149
1 4 "SITTING" "TimeDomain.BodyAngularSpeed-std()-Z" -0.941425920851064
1 4 "SITTING" "TimeDomain.BodyAngularSpeedMagnitude-mean()" -0.93089249
1 4 "SITTING" "TimeDomain.BodyAngularSpeedMagnitude-std()" -0.934531840425532
1 4 "SITTING" "TimeDomain.GravityAcceleration-mean()-X" 0.831509933404255
1 4 "SITTING" "TimeDomain.GravityAcceleration-mean()-Y" 0.204411592680851
1 4 "SITTING" "TimeDomain.GravityAcceleration-mean()-Z" 0.332043702765957
1 4 "SITTING" "TimeDomain.GravityAcceleration-std()-X" -0.968457145744681
1 4 "SITTING" "TimeDomain.GravityAcceleration-std()-Y" -0.935517055957447
1 4 "SITTING" "TimeDomain.GravityAcceleration-std()-Z" -0.949040933191489
1 4 "SITTING" "TimeDomain.GravityAccelerationMagnitude-mean()" -0.948536786170213
1 4 "SITTING" "TimeDomain.GravityAccelerationMagnitude-std()" -0.927078418723404
1 5 "STANDING" "FrequencyDomain.BodyAcceleration-mean()-X" -0.995249932641509
1 5 "STANDING" "FrequencyDomain.BodyAcceleration-mean()-Y" -0.977070847735849
1 5 "STANDING" "FrequencyDomain.BodyAcceleration-mean()-Z" -0.985297098679245
1 5 "STANDING" "FrequencyDomain.BodyAcceleration-std()-X" -0.99602834509434
1 5 "STANDING" "FrequencyDomain.BodyAcceleration-std()-Y" -0.972293102075472
1 5 "STANDING" "FrequencyDomain.BodyAcceleration-std()-Z" -0.977937259622642
1 5 "STANDING" "FrequencyDomain.BodyAccelerationJerk-mean()-X" -0.994630797358491
1 5 "STANDING" "FrequencyDomain.BodyAccelerationJerk-mean()-Y" -0.985418704528302
1 5 "STANDING" "FrequencyDomain.BodyAccelerationJerk-mean()-Z" -0.990752166037736
1 5 "STANDING" "FrequencyDomain.BodyAccelerationJerk-std()-X" -0.995073759245283
1 5 "STANDING" "FrequencyDomain.BodyAccelerationJerk-std()-Y" -0.987018226792453
1 5 "STANDING" "FrequencyDomain.BodyAccelerationJerk-std()-Z" -0.992349818113208
1 5 "STANDING" "FrequencyDomain.BodyAccelerationMagnitude-mean()" -0.985356361132075
1 5 "STANDING" "FrequencyDomain.BodyAccelerationMagnitude-std()" -0.982313804716981
1 5 "STANDING" "FrequencyDomain.BodyAngularSpeed-mean()-X" -0.986386786037736
